fighter,height
Leonardo Santos,72.00003888
Nasrat Haqparast,70.00003780000002
Islam Makhachev,70.00003780000002
Uros Medic,73.00003942
Alexander Hernandez,69.00003726
Michael Johnson,70.00003780000002
Diego Ferreira,69.00003726
Dan Hooker,72.00003888
Dustin Poirier,69.00003726
Arman Tsarukyan,67.00003618000001
Mike Davis,72.00003888
Renato Moicano,71.00003834
Tony Ferguson,71.00003834
Gabriel Benitez,68.00003672
Matt Wiman,70.00003780000002
Paul Felder,71.00003834
Chris Gruetzemacher,68.00003672
Bobby Green,70.00003780000002
Khabib Nurmagomedov,70.00003780000002
Joel Alvarez,75.00004050000001
Mateusz Gamrot,70.00003780000002
Jamie Mullarkey,72.00003888
Luigi Vendramini,68.00003672
Brad Riddell,67.00003618000001
Ottman Azaitar,68.00003672
Austin Hubbard,70.00003780000002
Jim Miller,68.00003672
Beneil Dariush,70.00003780000002
Lando Vannata,69.00003726
Francisco Trinaldo,69.00003726
Joe Duffy,70.00003780000002
Marc Diakiese,70.00003780000002
Davi Ramos,66.00003564
Luis Pena,75.00004050000001
Clay Guida,67.00003618000001
Frank Camacho,70.00003780000002
Charles Rosa,69.00003726
Roosevelt Roberts,74.00003996000001
Kevin Lee,69.00003726
Mark Madsen,68.00003672
Jalin Turner,75.00004050000001
Brok Weaver,72.00003888
Anthony Pettis,70.00003780000002
Drew Dober,68.00003672
Dong Hyun Ma,71.00003834
Joe Solecki,69.00003726
Charles Oliveira,70.00003780000002
Alexander Yakovlev,75.00004050000001
Alex White,72.00003888
Joe Lauzon,70.00003780000002
Matt Frevola,69.00003726
Al Iaquinta,70.00003780000002
Claudio Puelles,71.00003834
Donald Cerrone,73.00003942
Kyle Prepolec,70.00003780000002
Edson Barboza,71.00003834
Mairbek Taisumov,69.00003726
Don Madge,72.00003888
Damir Ismagulov,69.00003726
Devonte Smith,69.00003726
Christos Giagos,70.00003780000002
Kazula Vargas,68.00003672
Joaquim Silva,68.00003672
Scott Holtzman,69.00003726
Olivier Aubin-Mercier,69.00003726
James Vick,75.00004050000001
Jared Gordon,69.00003726
Stevie Ray,70.00003780000002
Damir Hadzovic,69.00003726
Nick Hein,66.00003564
Desmond Green,70.00003780000002
Thiago Moises,69.00003726
BJ Penn,69.00003726
Gilbert Burns,70.00003780000002
Magomed Mustafaev,68.00003672
Max Holloway,71.00003834
Ross Pearson,68.00003672
John Makdessi,68.00003672
Rustam Khabilov,68.00003672
Callan Potter,72.00003888
Gregor Gillespie,67.00003618000001
Dennis Bermudez,66.00003564
Alex Gorgees,74.00003996000001
Mizuto Hirota,67.00003618000001
Devin Powell,72.00003888
Michael Trizano,71.00003834
Thibault Gouti,70.00003780000002
Te Edwards,68.00003672
Gray Maynard,69.00003726
Justin Gaethje,71.00003834
Kajan Johnson,71.00003834
Eddie Alvarez,69.00003726
Michael Chiesa,73.00003942
John Gunther,69.00003726
Nik Lentz,68.00003672
Evan Dunham,70.00003780000002
Sage Northcutt,72.00003888
Damien Brown,70.00003780000002
Michel Prazeres,66.00003564
Alan Patrick,71.00003834
Jordan Rinaldi,70.00003780000002
Erik Koch,70.00003780000002
Vinc Pichel,70.00003780000002
James Krause,74.00003996000001
David Teymur,69.00003726
Hacran Dias,68.00003672
Marcin Held,69.00003726
Takanori Gomi,67.00003618000001
Anthony Rocco Martin,72.00003888
Jason Saggo,71.00003834
Mitch Clarke,70.00003780000002
Alvaro Herrera Mendoza,72.00003888
Joshua Burkman,70.00003780000002
Frankie Perez,71.00003834
Danny Henry,72.00003888
Reza Madadi,71.00003834
Will Brooks,70.00003780000002
Josh Emmett,66.00003564
Abel Trujillo,68.00003672
Jason Gonzalez,74.00003996000001
Yusuke Kasuya,67.00003618000001
Jake Matthews,71.00003834
Martin Bravo,68.00003672
Diego Sanchez,70.00003780000002
Rafael Dos Anjos,68.00003672
Marco Polo Reyes,71.00003834
Lukasz Sajewski,68.00003672
Glaico Franca Moreira,72.00003888
Chris Wade,70.00003780000002
Shane Campbell,72.00003888
Chad Laprise,70.00003780000002
Jeremy Kennedy,71.00003834
Cesar Arzamendia,71.00003834
Jon Tuck,71.00003834
Yan Cabral,71.00003834
Efrain Escudero,69.00003726
Norman Parke,71.00003834
Teemu Packalen,73.00003942
Joe Proctor,70.00003780000002
Julian Erosa,73.00003942
Artem Lobov,69.00003726
Tae Hyun Bang,69.00003726
Horacio Gutierrez,70.00003780000002
Valmir Lazaro,72.00003888
Alex Oliveira,71.00003834
Gleison Tibau,70.00003780000002
Adriano Martins,70.00003780000002
Francisco Trevino,69.00003726
Naoyuki Kotani,68.00003672
Sam Stout,69.00003726
Anthony Christodoulou,69.00003726
Daron Cruickshank,68.00003672
Ramsey Nijem,71.00003834
Mickael Lebout,71.00003834
Josh Thomson,70.00003780000002
Yosdenis Cedeno,68.00003672
Piotr Hallmann,69.00003726
Gilbert Melendez,69.00003726
Zhang Lipeng,71.00003834
Marcin Bandel,70.00003780000002
Jorge Masvidal,71.00003834
Leonardo Mafra,70.00003780000002
Jorge de Oliveira,68.00003672
Jake Lindsey,71.00003834
Ivan Jorge,69.00003726
James Moontasri,70.00003780000002
Johnny Case,70.00003780000002
Danny Castillo,69.00003726
Elias Silverio,71.00003834
Jamie Varner,68.00003672
David Michaud,69.00003726
Joe Ellenberger,69.00003726
Yves Edwards,69.00003726
Leandro Silva,69.00003726
Fabricio Camoes,70.00003780000002
Myles Jury,70.00003780000002
Kazuki Tokudome,71.00003834
Yancy Medeiros,70.00003780000002
Benson Henderson,69.00003726
Akbarh Arreola,70.00003780000002
Justin Salas,68.00003672
Jesse Ronson,70.00003780000002
Colton Smith,72.00003888
Rodrigo Damm,67.00003618000001
Anthony Njokuani,73.00003942
Mark Bocek,68.00003672
Renee Forte,67.00003618000001
Rafaello Oliveira,68.00003672
Ernest Chavez,68.00003672
Cristiano Marcello,69.00003726
Isaac Vallie-Flagg,68.00003672
Charlie Brenneman,70.00003780000002
Katsunori Kikuno,68.00003672
Thiago Tavares,67.00003618000001
George Sotiropoulos,70.00003780000002
Pat Healy,72.00003888
Mike Ricci,72.00003888
Ryan Couture,70.00003780000002
Mac Danzig,68.00003672
Aaron Riley,68.00003672
Lucas Martins,72.00003888
Nate Diaz,72.00003888
Tim Means,74.00003996000001
Paul Sass,72.00003888
Terry Etim,73.00003942
Jacob Volkmann,69.00003726
TJ Grant,70.00003780000002
Melvin Guillard,69.00003726
Mike Rio,70.00003780000002
Colin Fletcher,74.00003996000001
Brendan Loughnane,70.00003780000002
Marcus LeVesseur,69.00003726
Zhang Tiequan,68.00003672
John Alessio,70.00003780000002
Henry Martinez,67.00003618000001
Justin Lawrence,68.00003672
Cody McKenzie,72.00003888
Frankie Edgar,66.00003564
Anton Kuivanen,68.00003672
Kamal Shalorus,68.00003672
Dennis Siver,66.00003564
Shane Roller,70.00003780000002
Cole Miller,73.00003942
Vagner Rocha,70.00003780000002
Danny Downes,72.00003888
Waylon Lowe,67.00003618000001
Kurt Pellegrino,68.00003672
Joe Stevenson,67.00003618000001
Maciej Jewtuszko,72.00003888
Paul Taylor,72.00003888
Jeremy Stephens,69.00003726
Pat Audinwood,72.00003888
Sako Chivitchian,71.00003834
Jonathan Brookins,72.00003888
Mike Lullo,68.00003672
Paul Kelly,69.00003726
Tyson Griffin,66.00003564
Spencer Fisher,67.00003618000001
Sean Sherk,66.00003564
Steve Lopez,71.00003834
Andre Winner,71.00003834
Kenny Florian,70.00003780000002
Darren Elkins,70.00003780000002
John Gunderson,69.00003726
Rob Emerson,69.00003726
Caol Uno,67.00003618000001
Duane Ludwig,70.00003780000002
Shannon Gugerty,70.00003780000002
Jason Dent,70.00003780000002
Kyle Bradley,69.00003726
George Roop,73.00003942
Shane Nelson,69.00003726
Matt Veach,71.00003834
Josh Neer,71.00003834
Junie Browning,69.00003726
Rolando Delgado,75.00004050000001
Dale Hartt,70.00003780000002
Hermes Franca,66.00003564
David Bielkheden,70.00003780000002
Per Eklund,70.00003780000002
Justin Buchholz,72.00003888
Rich Clementi,69.00003726
Marcus Aurelio,70.00003780000002
Manvel Gamburyan,65.0000351
Jorge Gurgel,67.00003618000001
Corey Hill,76.00004104
Roger Huerta,69.00003726
Alvin Robinson,69.00003726
Matt Grice,68.00003672
Leonard Garcia,70.00003780000002
Nate Mohr,69.00003726
Din Thomas,69.00003726
Junior Assuncao,69.00003726
Dustin Hazelett,73.00003942
Mark Hominick,68.00003672
Matt Serra,66.00003564
Genki Sudo,69.00003726
Jens Pulver,67.00003618000001
Tony DeSouza,72.00003888
Laverne Clark,71.00003834
Shonie Carter,70.00003780000002
Dave Menne,70.00003780000002
Bob Cook,69.00003726
Matt Hughes,69.00003726
Marcelo Mello,67.00003618000001
Mikey Burnett,66.00003564
Pat Miletich,70.00003780000002
Kevin Jackson,70.00003780000002
Joe Moreira,71.00003834
Tony Fryklund,72.00003888
Guy Mezger,73.00003942
Enson Inoue,70.00003780000002
Tito Ortiz,75.00004050000001
Jerry Bohlander,71.00003834
